symbol,price,date,time,timestamp
HPFL.N0000,14.4,2026-02-15,16:08:42,2026-02-15 16:08:42
HOPL.N0000,52.6,2026-02-15,16:08:42,2026-02-15 16:08:42
HNBF.X0000,7.7,2026-02-15,16:08:42,2026-02-15 16:08:42
HNBF.N0000,8.1,2026-02-15,16:08:42,2026-02-15 16:08:42
HNB.X0000,392.25,2026-02-15,16:08:42,2026-02-15 16:08:42
HNB.N0000,440.0,2026-02-15,16:08:42,2026-02-15 16:08:42
HHL.N0000,33.8,2026-02-15,16:08:42,2026-02-15 16:08:42
HEXP.N0000,118.75,2026-02-15,16:08:42,2026-02-15 16:08:42
HELA.N0000,3.2,2026-02-15,16:08:42,2026-02-15 16:08:42
HDFC.N0000,57.4,2026-02-15,16:08:42,2026-02-15 16:08:42
HBS.N0000,20.0,2026-02-15,16:08:42,2026-02-15 16:08:42
HAYL.N0000,238.75,2026-02-15,16:08:42,2026-02-15 16:08:42
HAYC.N0000,124.5,2026-02-15,16:08:42,2026-02-15 16:08:42
HASU.N0000,112.25,2026-02-15,16:08:42,2026-02-15 16:08:42
HARI.N0000,5659.0,2026-02-15,16:08:42,2026-02-15 16:08:42
HAPU.N0000,57.1,2026-02-15,16:08:42,2026-02-15 16:08:42
GUAR.N0000,266.75,2026-02-15,16:08:42,2026-02-15 16:08:42
GREG.N0000,155.0,2026-02-15,16:08:42,2026-02-15 16:08:42
GRAN.N0000,458.0,2026-02-15,16:08:42,2026-02-15 16:08:42
GLAS.N0000,57.1,2026-02-15,16:08:42,2026-02-15 16:08:42
GHLL.N0000,19.2,2026-02-15,16:08:42,2026-02-15 16:08:42
GEST.N0000,418.5,2026-02-15,16:08:42,2026-02-15 16:08:42
FCT.N0000,34.9,2026-02-15,16:08:42,2026-02-15 16:08:42
EXT.N0000,14.1,2026-02-15,16:08:42,2026-02-15 16:08:42
ETWO.N0000,72.3,2026-02-15,16:08:42,2026-02-15 16:08:42
EML.N0000,12.2,2026-02-15,16:08:42,2026-02-15 16:08:42
EMER.N0000,17.8,2026-02-15,16:08:42,2026-02-15 16:08:42
ELPL.N0000,180.0,2026-02-15,16:08:42,2026-02-15 16:08:42
EDEN.N0000,13.2,2026-02-15,16:08:42,2026-02-15 16:08:42
ECL.N0000,16.7,2026-02-15,16:08:42,2026-02-15 16:08:42
EBCR.N0000,63.0,2026-02-15,16:08:42,2026-02-15 16:08:42
EAST.N0000,72.9,2026-02-15,16:08:42,2026-02-15 16:08:42
DPL.N0000,18.2,2026-02-15,16:08:42,2026-02-15 16:08:42
DOCK.N0000,155.0,2026-02-15,16:08:42,2026-02-15 16:08:42
DIST.N0000,58.0,2026-02-15,16:08:42,2026-02-15 16:08:42
DIPD.N0000,59.0,2026-02-15,16:08:42,2026-02-15 16:08:42
DIMO.N0000,1950.25,2026-02-15,16:08:42,2026-02-15 16:08:42
DIAL.N0000,32.5,2026-02-15,16:08:42,2026-02-15 16:08:42
DFCC.N0000,157.75,2026-02-15,16:08:42,2026-02-15 16:08:42
CWM.N0000,40.4,2026-02-15,16:08:42,2026-02-15 16:08:42
CWL.N0000,22.9,2026-02-15,16:08:42,2026-02-15 16:08:42
CTLD.N0000,40.0,2026-02-15,16:08:42,2026-02-15 16:08:42
CTHR.N0000,643.25,2026-02-15,16:08:42,2026-02-15 16:08:42
CTEA.N0000,1927.5,2026-02-15,16:08:42,2026-02-15 16:08:42
CTBL.N0000,12.0,2026-02-15,16:08:42,2026-02-15 16:08:42
CSLK.N0000,14.1,2026-02-15,16:08:42,2026-02-15 16:08:42
CSF.N0000,0.1,2026-02-15,16:08:42,2026-02-15 16:08:42
CSD.N0000,30.7,2026-02-15,16:08:42,2026-02-15 16:08:42
CRL.N0000,6.2,2026-02-15,16:08:42,2026-02-15 16:08:42
CPRT.N0000,3776.25,2026-02-15,16:08:42,2026-02-15 16:08:42
COOP.N0000,4.4,2026-02-15,16:08:42,2026-02-15 16:08:42
CONN.N0000,36.9,2026-02-15,16:08:42,2026-02-15 16:08:42
COMD.N0000,318.75,2026-02-15,16:08:42,2026-02-15 16:08:42
COMB.X0000,206.25,2026-02-15,16:08:42,2026-02-15 16:08:42
COMB.N0000,230.25,2026-02-15,16:08:42,2026-02-15 16:08:42
COLO.N0000,58.8,2026-02-15,16:08:42,2026-02-15 16:08:42
COCR.N0000,126.0,2026-02-15,16:08:42,2026-02-15 16:08:42
COCO.X0000,57.9,2026-02-15,16:08:42,2026-02-15 16:08:42
COCO.N0000,70.0,2026-02-15,16:08:42,2026-02-15 16:08:42
CLND.N0000,55.7,2026-02-15,16:08:42,2026-02-15 16:08:42
CITW.N0000,2.0,2026-02-15,16:08:42,2026-02-15 16:08:42
CITH.N0000,4.5,2026-02-15,16:08:42,2026-02-15 16:08:42
CIT.N0000,541.25,2026-02-15,16:08:42,2026-02-15 16:08:42
CINV.N0000,127.0,2026-02-15,16:08:42,2026-02-15 16:08:42
CINS.X0000,1755.75,2026-02-15,16:08:42,2026-02-15 16:08:42
CINS.N0000,3300.0,2026-02-15,16:08:42,2026-02-15 16:08:42
CIND.N0000,260.0,2026-02-15,16:08:42,2026-02-15 16:08:42
CIC.X0000,28.0,2026-02-15,16:08:42,2026-02-15 16:08:42
CIC.N0000,34.5,2026-02-15,16:08:42,2026-02-15 16:08:42
CHOT.N0000,41.8,2026-02-15,16:08:42,2026-02-15 16:08:42
CHMX.N0000,181.0,2026-02-15,16:08:42,2026-02-15 16:08:42
