symbol,trade_date,close,trade_volume,share_volume,intraday_volatility,share_volume_5d,share_volume_20d,volume_ratio_5d_20d,trade_density,momentum_5d,momentum_20d,momentum_60d
BALA.N0000,2026-01-06,70.0,110,64485,2.428571428571433,31308.333333333332,31308.333333333332,1.0,586.2272727272727,0.0,0.0,0.0
TSML.N0000,2026-01-06,49.9,29,7507,5.811623246492983,7682.666666666667,7682.666666666667,1.0,258.86206896551727,0.0,0.0,0.0
SOY.N0000,2026-01-06,2148.25,25,287,13.45281042709182,308.0,308.0,1.0,11.48,0.0,0.0,0.0
AFS.N0000,2026-01-06,29.5,177,543738,7.796610169491528,242205.66666666666,242205.66666666666,1.0,3071.9661016949153,0.0,0.0,0.0
SHOT.N0000,2026-01-06,21.8,9,1422,3.2110091743119233,40784.0,40784.0,1.0,158.0,0.0,0.0,0.0
BRR.N0000,2026-01-06,23.0,11,1496,0.4347826086956583,857.0,857.0,1.0,136.0,0.0,0.0,0.0
UCAR.N0000,2026-01-06,1403.75,11,166,2.5645592163846835,166.66666666666666,166.66666666666666,1.0,15.090909090909092,0.0,0.0,0.0
SHOT.X0000,2026-01-06,14.1,41,151676,4.255319148936168,77689.33333333333,77689.33333333333,1.0,3699.4146341463415,0.0,0.0,0.0
BREW.N0000,2026-01-06,2529.0,4,21,2.530644523527086,60.666666666666664,60.666666666666664,1.0,5.25,0.0,0.0,0.0
AFSL.N0000,2026-01-06,73.3,9,607,5.320600272851304,9846.666666666666,9846.666666666666,1.0,67.44444444444444,0.0,0.0,0.0
SIGV.N0000,2026-01-06,149.75,213,129988,10.18363939899833,69701.0,69701.0,1.0,610.2723004694835,0.0,0.0,0.0
TILE.N0000,2026-01-06,51.3,98,22539,3.7037037037037015,115959.66666666667,115959.66666666667,1.0,229.98979591836735,0.0,0.0,0.0
UBF.N0000,2026-01-06,3.3,81,691361,6.0606060606060534,1350903.3333333333,1350903.3333333333,1.0,8535.32098765432,0.0,0.0,0.0
SIL.N0000,2026-01-06,344.5,25,925,15.674891146589259,451.0,451.0,1.0,37.0,0.0,0.0,0.0
BOPL.N0000,2026-01-06,78.4,6,1046,0.5102040816326603,1180.6666666666667,1180.6666666666667,1.0,174.33333333333334,0.0,0.0,0.0
AGAL.N0000,2026-01-06,54.3,77,81724,6.629834254143649,52806.0,52806.0,1.0,1061.3506493506493,0.0,0.0,0.0
SINH.N0000,2026-01-06,11.1,167,1878270,8.10810810810811,684888.6666666666,684888.6666666666,1.0,11247.125748502995,0.0,0.0,0.0
BOGA.N0000,2026-01-06,156.0,374,78781,8.333333333333332,108052.66666666667,108052.66666666667,1.0,210.64438502673798,0.0,0.0,0.0
UBC.N0000,2026-01-06,14.9,65,173661,2.684563758389264,105137.0,105137.0,1.0,2671.7076923076925,0.0,0.0,0.0
AGPL.N0000,2026-01-06,19.9,140,151409,6.030150753768841,114793.0,114793.0,1.0,1081.4928571428572,0.0,0.0,0.0
BBH.N0000,2026-01-06,25.0,11,1371,4.0,19379.666666666668,19379.666666666668,1.0,124.63636363636364,0.0,0.0,0.0
AGST.X0000,2026-01-06,12.1,5,4200,3.3057851239669303,2089.3333333333335,2089.3333333333335,1.0,840.0,0.0,0.0,0.0
SMOT.N0000,2026-01-06,1649.75,34,4615,1.606303985452341,3103.3333333333335,3103.3333333333335,1.0,135.73529411764707,0.0,0.0,0.0
BERU.N0000,2026-01-06,3.8,88,740242,2.631578947368424,373854.0,373854.0,1.0,8411.84090909091,0.0,0.0,0.0
TYRE.N0000,2026-01-06,90.0,63,19963,0.22222222222222537,29200.666666666668,29200.666666666668,1.0,316.87301587301585,0.0,0.0,0.0
SLTL.N0000,2026-01-06,87.8,303,343271,6.947608200455574,152200.66666666666,152200.66666666666,1.0,1132.907590759076,0.0,0.0,0.0
SHL.N0000,2026-01-06,5.7,98,179566,3.5087719298245648,113991.66666666667,113991.66666666667,1.0,1832.3061224489795,0.0,0.0,0.0
