symbol,price,date,time,timestamp
MADU.N0000,12.5,2026-02-10,15:45:27,2026-02-10 15:45:27
LWL.N0000,52.7,2026-02-10,15:45:27,2026-02-10 15:45:27
LVEN.N0000,65.5,2026-02-10,15:45:27,2026-02-10 15:45:27
LVEF.N0000,9.0,2026-02-10,15:45:27,2026-02-10 15:45:27
LUMX.N0000,10.5,2026-02-10,15:45:27,2026-02-10 15:45:27
LPRT.N0000,570.25,2026-02-10,15:45:27,2026-02-10 15:45:27
LPL.X0000,10.2,2026-02-10,15:45:27,2026-02-10 15:45:27
LPL.N0000,14.0,2026-02-10,15:45:27,2026-02-10 15:45:27
LMF.N0000,76.9,2026-02-10,15:45:27,2026-02-10 15:45:27
LLUB.N0000,193.25,2026-02-10,15:45:27,2026-02-10 15:45:27
LITE.N0000,53.4,2026-02-10,15:45:27,2026-02-10 15:45:27
LION.N0000,1794.5,2026-02-10,15:45:27,2026-02-10 15:45:27
LIOC.N0000,140.0,2026-02-10,15:45:27,2026-02-10 15:45:27
LHL.N0000,83.0,2026-02-10,15:45:27,2026-02-10 15:45:27
LHCL.N0000,106.75,2026-02-10,15:45:27,2026-02-10 15:45:27
LGL.X0000,55.4,2026-02-10,15:45:27,2026-02-10 15:45:27
LGL.N0000,71.1,2026-02-10,15:45:27,2026-02-10 15:45:27
LFIN.N0000,163.5,2026-02-10,15:45:27,2026-02-10 15:45:27
LDEV.N0000,21.0,2026-02-10,15:45:27,2026-02-10 15:45:27
LCEY.N0000,48.0,2026-02-10,15:45:27,2026-02-10 15:45:27
LCBF.N0000,8.5,2026-02-10,15:45:27,2026-02-10 15:45:27
LAMB.N0000,1400.0,2026-02-10,15:45:27,2026-02-10 15:45:27
LALU.N0000,47.9,2026-02-10,15:45:27,2026-02-10 15:45:27
KZOO.N0000,21.0,2026-02-10,15:45:27,2026-02-10 15:45:27
KVAL.N0000,90.0,2026-02-10,15:45:27,2026-02-10 15:45:27
KPHL.N0000,20.1,2026-02-10,15:45:27,2026-02-10 15:45:27
KOTA.N0000,9.6,2026-02-10,15:45:27,2026-02-10 15:45:27
KHL.N0000,21.8,2026-02-10,15:45:27,2026-02-10 15:45:27
KHC.N0000,16.5,2026-02-10,15:45:27,2026-02-10 15:45:27
KGAL.N0000,142.25,2026-02-10,15:45:27,2026-02-10 15:45:27
KFP.N0000,170.0,2026-02-10,15:45:27,2026-02-10 15:45:27
KCAB.N0000,131.0,2026-02-10,15:45:27,2026-02-10 15:45:27
KAHA.N0000,20.0,2026-02-10,15:45:27,2026-02-10 15:45:27
JKL.N0000,84.1,2026-02-10,15:45:27,2026-02-10 15:45:27
JINS.N0000,137.0,2026-02-10,15:45:27,2026-02-10 15:45:27
JFP.N0000,16.3,2026-02-10,15:45:27,2026-02-10 15:45:27
JETS.N0000,18.1,2026-02-10,15:45:27,2026-02-10 15:45:27
JAT.N0000,45.5,2026-02-10,15:45:27,2026-02-10 15:45:27
INME.N0000,1746.75,2026-02-10,15:45:27,2026-02-10 15:45:27
HVA.N0000,5.6,2026-02-10,15:45:27,2026-02-10 15:45:27
HUNT.N0000,1498.5,2026-02-10,15:45:27,2026-02-10 15:45:27
HUNA.N0000,19.5,2026-02-10,15:45:27,2026-02-10 15:45:27
HSIG.N0000,95.9,2026-02-10,15:45:27,2026-02-10 15:45:27
HPWR.N0000,11.0,2026-02-10,15:45:27,2026-02-10 15:45:27
HPL.N0000,26.1,2026-02-10,15:45:27,2026-02-10 15:45:27
