symbol,rank,dimension7_v2_score,c1_trading_activity,c2_volatility_adj,c3_market_recognition,c4_volume_trends,c5_momentum,trade_volume_score,share_volume_score,trade_density_class,volatility_level,volume_trend,volume_ratio,momentum_confluence,momentum_5d_pct,momentum_20d_pct,momentum_60d_pct,momentum_5d_score,momentum_20d_score,momentum_60d_score,phase,components_active,metrics_available,scoring_date
PARQ.N0000,85,71.8,72.0,45.0,50.0,95.0,95.0,82.0,62.0,retail,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
KHL.N0000,86,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
TAP.N0000,87,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SPEN.N0000,88,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
AAF.N0000,89,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
NTB.N0000,90,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
UAL.N0000,91,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
COMB.X0000,92,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
MELS.N0000,93,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LIOC.N0000,94,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
PKME.N0000,95,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
COCR.N0000,96,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HAYC.N0000,97,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
